Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:07:15:710, 3420, -58875, -15828, 1782437, 3862596, 6992368, -36335888, 
00:07:15:726, 3420, -658875, 1153468, -1271703, -13351148, 15961836, -34893139, 
00:07:15:738, 3420, 196578, -399437, 3553421, -18244280, 6122139, -32801536, 
00:07:15:750, 3438, 471515, 2412921, 3867734, -10351148, -2305344, -29488558, 
00:07:15:761, 3441, 419750, 437359, 275250, -9122140, -15366416, -23816800, 
00:07:15:773, 3441, 460125, 231562, 1119703, 5152673, -18977104, -18229012, 
00:07:15:789, 3441, -310781, 36328, 1381312, -6366414, 343511, -16900768, 
00:07:15:800, 3428, 1704281, 1482828, 5203906, -1343511, 20106876, -13992370, 
00:07:15:812, 3436, -427734, -861703, -2365843, 412213, 3167939, -4427482, 
00:07:15:824, 3439, 786765, 810765, -2913171, -15824432, 12832064, -3656489, 
00:07:15:835, 3439, 602546, -1034375, 860265, -9000002, 13145041, -465648, 
00:07:15:875, 3419, -23109, 1997390, -922625, -24893136, 28442756, -4908398, 
00:07:15:886, 3419, 78125, 3839343, 3311328, -16122142, 23480922, -5687024, 
00:07:15:898, 3419, -562750, -1262531, 3483531, -7068704, 16152676, -8435116, 
00:07:15:914, 5302, 2272859, 5828250, 621750, -19687028, 7343513, -10687026, 
00:07:15:925, 3439, -995218, 2726640, 4338953, -18267180, 13015270, -16541989, 
00:07:15:937, 3439, 252890, -363031, 4507640, -19381685, 13778629, -22106876, 
00:07:15:949, 3439, -869468, -354593, 2116046, -22122143, 8503819, -29229016, 
00:07:15:960, 3423, 1065250, -734093, -8096843, -23946571, -1213740, -35809170, 
00:07:15:976, 3428, -336921, 1971312, 2451218, -22511456, -11908400, -42465661, 
00:07:15:988, 3419, -3189968, 2461562, -868937, -26061076, -23099243, -48587800, 
00:07:16:00, 3419, -1854359, -236453, -640765, -29366420, -26969473, -56633604, 
00:07:16:11, 3419, -2512390, 385453, 3639562, -48251922, -10458018, -68198493, 
