Date, Datalogger Freq, Accelerometer X Axis, Accelerometer Y Axis, Accelerometer Z Axis, Gyroscope X Axis, Gyroscope Y Axis, Gyroscope Z Axis, 
00:06:25:375, 0, -298453, 459890, 802203, -18541990, -2656489, 21022906, 
00:06:25:386, 0, -205125, -680500, 1799171, -19450387, -4419848, 22320617, 
00:06:25:398, 0, 122031, 70781, -660671, -25068709, -419847, 24938938, 
00:06:25:410, 0, 243453, 59781, -396062, -17450386, -5610688, 26534358, 
00:06:25:421, 3424, -331843, -255187, 829093, -8656491, 2305344, 26496190, 
00:06:25:437, 5315, -111765, 438953, 1021437, -9923667, -1519084, 26198480, 
00:06:25:449, 5315, -84625, 278781, 745609, -21786265, -9282445, 28725199, 
00:06:25:460, 5315, -11250, 492546, 560609, -28183214, -5954200, 29801535, 
00:06:25:472, 5315, -346421, -366125, 252578, -32641230, -5396948, 30083978, 
00:06:25:500, 3438, -995125, -60343, 871359, -20572525, -23374052, 26870236, 
00:06:25:511, 5459, -10890, -238937, 664500, -4427482, -10580155, 26931305, 
00:06:25:523, 5459, -256671, 166796, 1475171, -7984735, -6801528, 27725198, 
00:06:25:535, 5459, -204203, -128468, 134625, -22358785, -12473286, 28129779, 
00:06:25:546, 5459, -57125, -122375, 212390, -16770997, -8877865, 28343519, 
00:06:25:562, 5459, 229656, 6703, -218953, -19236646, 1938931, 30519092, 
00:06:25:574, 3438, -549343, -386750, 1809359, -12549621, 5870230, 31175581, 
00:06:25:636, 3424, -350156, -123500, 1088000, 4328245, 3984733, 18595425, 
00:06:25:648, 3423, -77718, -438046, 528906, -3526718, -6625956, 18396951, 
00:06:25:660, 3437, -138984, 448078, 1433328, 3061069, 473282, 17625959, 
00:06:25:671, 3434, -146281, 260906, 964984, -8664124, 6763360, 18786264, 
00:06:25:687, 3434, -191328, 84546, 1278781, -16145042, -2091603, 19244280, 
00:06:25:699, 0, -107328, 810531, 796468, -16954203, -7664124, 18809165, 
00:06:25:710, 0, -518828, 1030515, 1861625, -28229015, -16763363, 19229013, 
00:06:25:722, 0, 88109, -311875, 577171, -9656491, -29343519, 13305347, 
00:06:25:734, 0, -345546, 251828, -709546, -12343515, -30229016, 11702293, 
00:06:25:750, 0, -165000, -730718, 888546, -4450382, -30022909, 9221376, 
00:06:25:761, 0, -133156, -246687, -273812, 145038, -26312984, 6183207, 
00:06:25:773, 0, -227000, -53500, 1339000, 12030537, -23633594, 2832061, 
00:06:25:785, 0, 51437, 6437, 1668328, 3229008, -12290079, 3381680, 
00:06:25:796, 0, -300468, 1110062, 2787984, -1251908, -20412219, 916030, 
00:06:25:835, 0, -221062, 1077484, 3026046, -5893131, 7030536, 4946566, 
00:06:25:847, 0, -3890, -1502437, -1934140, 1564885, 6587788, 4595421, 
00:06:25:859, 0, -127437, -779078, -1184968, 24152678, 11656491, 748091, 
00:06:25:875, 0, -226156, -174234, 3094453, 15045805, 7847330, -1053435, 
00:06:25:886, 0, 180015, 78265, -3208703, -3793894, -24343518, -6480917, 
00:06:25:898, 0, -339187, 165281, 82734, -4839696, -39679400, -10167941, 
00:06:25:910, 0, 225250, -1026593, 1334906, 3198474, -28862603, -11458018, 
00:06:25:921, 0, -406328, -408640, -574437, -2969466, -11312980, -10389315, 
